epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1649.53,1.00029,1.58082,1.46187,0.78141,0.81075,0.81634,0.70741,0.57915,0.80609,0.93544,0.00333284,0.00333284,0.00333284
2,3264.76,0.85637,1.15373,1.32072,0.81278,0.83735,0.83516,0.72496,0.54484,0.64953,0.90969,0.00653419,0.00653419,0.00653419
3,4849,0.86999,1.1816,1.32097,0.85199,0.84573,0.86107,0.77953,0.43286,0.6052,0.91324,0.00960353,0.00960353,0.00960353
4,6423.93,0.83474,1.12539,1.29504,0.85978,0.85121,0.87802,0.81017,0.41263,0.54013,0.88043,0.009406,0.009406,0.009406
5,7998.9,0.75542,0.99474,1.24591,0.86359,0.85419,0.87981,0.82191,0.36024,0.51746,0.85443,0.009208,0.009208,0.009208
6,9559.9,0.70363,0.92237,1.21346,0.85903,0.86005,0.88768,0.8327,0.33865,0.4823,0.84305,0.00901,0.00901,0.00901
7,11089.9,0.67083,0.87006,1.19471,0.86893,0.86664,0.90068,0.85538,0.30672,0.46482,0.82129,0.008812,0.008812,0.008812
8,12587.9,0.64768,0.84043,1.18217,0.85391,0.87427,0.8968,0.85091,0.29879,0.4709,0.81045,0.008614,0.008614,0.008614
9,14071,0.62418,0.80664,1.16657,0.87204,0.87918,0.90253,0.85658,0.28275,0.46574,0.8085,0.008416,0.008416,0.008416
10,15559.1,0.61113,0.78438,1.1595,0.86207,0.88956,0.90816,0.8657,0.27073,0.42765,0.80351,0.008218,0.008218,0.008218
11,17038,0.59819,0.77039,1.15087,0.87288,0.88734,0.91359,0.87087,0.28402,0.41492,0.80367,0.00802,0.00802,0.00802
12,18518.3,0.58778,0.75926,1.14608,0.87562,0.88381,0.91102,0.86971,0.27413,0.41093,0.79919,0.007822,0.007822,0.007822
13,20027.7,0.57608,0.741,1.13723,0.86612,0.89286,0.91324,0.87249,0.25631,0.40887,0.79037,0.007624,0.007624,0.007624
14,21532.2,0.56513,0.72983,1.1304,0.87626,0.88677,0.91499,0.87429,0.24501,0.40473,0.78808,0.007426,0.007426,0.007426
